EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	11:13:23	0	0.1000	0.3962577894247698	0.3509156405925751	0.474	0.3202	0.3567	0.5817
2	12:23:40	1	0.1000	0.3075030368665305	0.41967079043388367	0.3875	0.2899	0.2697	0.6181
3	14:00:00	0	0.1000	0.2763668868423167	0.3396625220775604	0.609	0.3495	0.3746	0.6556
4	14:59:22	1	0.1000	0.2631097240013312	1.0434173345565796	0.5297	0.6039	0.3772	0.2383
5	15:58:16	0	0.1000	0.25643164314617767	0.26597538590431213	0.657	0.6617	0.6476	0.667
6	16:55:40	1	0.1000	0.24176838248968124	0.2520699203014374	0.651	0.4725	0.5324	0.6889
7	17:54:37	0	0.1000	0.2327179727633355	0.2472669631242752	0.6743	0.6434	0.6361	0.7024
8	18:52:54	1	0.1000	0.2279798437053986	0.2784874141216278	0.617	0.4221	0.4645	0.7128
9	19:52:16	2	0.1000	0.22440818791890013	0.2487216740846634	0.5938	0.4509	0.4983	0.718
10	20:50:31	3	0.1000	0.2215901907965623	0.3792416751384735	0.6706	0.4756	0.5032	0.6576
