_label_do_not_consider	Die HBH Microwave GmbH in Stutensee bei Karlsruhe wurde 1999 gegründet und beschäftigt rund 50 Mitarbeiter.
_label_potential_skill_phrase	Beobachtung von Mitbewerberangeboten, Industrietrends und neuen Technologien sowie Analyse und Ableitung entsprechender Maßnahmen
_label_do_not_consider	Senden Sie uns bitte Ihre vollständigen Bewerbungsunterlagen mit Angabe Ihrer Gehaltsvorstellungen anbewerbung@coscom.deoder bewerben Sie sich direkt online im Karriere-Portal unterwww.coscom.de/unternehmen/jobs-karriere.html
_label_do_not_consider	Freie Auswahl der Hardware
_label_potential_skill_phrase	Produkt-Positionierung und Produkt-Strategie (z. B. Business Plan, Pricing, Vertriebskanäle, Produkt-Roadmap) aus Produktmanagement-Sicht und ausgehend von vorgegebenen strategischen und regulatorischen Rahmenbedingungen
_label_potential_skill_phrase	Sie arbeiten bei der Konzeption und Implementation von Netzwerktopologien mit
_label_job_title	Entwicklungsingenieur (m/w/d) Batterietechnik / Batteriesysteme
_label_potential_skill_phrase	Ausgeprägte Projektmanagementerfahrung
_label_potential_skill_phrase	Führen und Erstellen von Anleitungen, Dokumentationen und Checklisten
_label_potential_skill_phrase	Ein nachweislich vorhandenes, international verteiltes Partner- und Kundenkontaktnetzwerk auf Entscheiderebene sind ein Plus
_label_potential_skill_phrase	Gute Kenntnisse der deutschen Sprache. Kenntnisse der englischen Sprache wünschenswert
_label_potential_skill_phrase	Einrichtung und Parametrisierung der Systeme und Schnittstellen sowie Datenmigration in Zusammenarbeit mit unseren Technical Implementation Consultants
_label_potential_skill_phrase	praktische Erfahrung mit modernen Web­technologien, JavaScript Frameworks (Angular, React) oder JSF oder in der App-Entwicklung
_label_potential_skill_phrase	Eigenverantwortliche Planung, Realisierung und Controlling von Digitalisierungs­projekten im klinischen Umfeld
_label_do_not_consider	Vielfältige Benefits (u.a. Fahrtkostenzuschuss, Firmenevents, Betriebliches Gesundheitsmanagement...)
_label_potential_skill_phrase	Erfahrung mit Krankenhaus- und / oder Laborinformationssystemen, idealerweise mit Produkten von Nexus oder Medat (wünschenswert jedoch keine Bedingung)
_label_do_not_consider	Kaffee, Tee, Mineralwasser und Säfte gratis
_label_paragraph_separator	SAP Senior Inhouse Entwickler (m/w/d)
_label_job_title	Angular Frontend Developer (m/w/d)
_label_potential_skill_phrase	Kenntnisse in Software-Design-Patterns und SOLID-Principles
_label_potential_skill_phrase	Wir dokumentieren die (mit) entwickelten Softwaresysteme
_label_potential_skill_phrase	You enjoy working in a multicultural environment and have a high level of intercultural and social competency
_label_potential_skill_phrase	Aufbau von Testumgebungen
_label_potential_skill_phrase	Einhaltung der gesetzlichen Regelungen
_label_potential_skill_phrase	hohe soziale Kompetenz und Einsatzbereitschaft, verbunden mit Reisebereitschaft
_label_job_title	Solution Architect (m/w/d) Microsoft Dynamics 365 Business Central
_label_potential_skill_phrase	Du beherrscht verschiedene Entwicklungsframeworks und -methoden sicher (z. B. SAFe, Scrumban, Kanban). Darüber hinaus präsentierst Du neue Inhalte souverän vor Stakeholdern, begeisterst andere und hast Erfahrung im Coachen von Kollegen in neuen Inhalten und Techniken.
_label_potential_skill_phrase	Aufbau von Architekturenfür Enterprise-Content-Management und sicheres Information Management sowie Integration entsprechender Dienste in bestehende Architekturen und Plattformen
